season,team,player_id,player_name,spine_metric,games,spine_opps,team_spine_opps,spine_opps_stress,team_spine_opps_stress,spine_opps_calm,team_spine_opps_calm,share_overall,share_stress,share_calm,confidence_delta
2026,IND,00-0030279,K.Allen,targets,2,11,59,5,22,6,37,0.1864,0.2273,0.1622,0.0651
2026,JAX,00-0036590,Q.Morris,targets,2,2,49,0,16,2,33,0.0408,0.0,0.0606,-0.0606
2026,CHI,00-0036290,C.Kmet,targets,2,4,56,2,27,2,29,0.0714,0.0741,0.069,0.0051
2026,NO,00-0036040,J.Johnson,targets,2,11,85,11,40,0,45,0.1294,0.275,0.0,0.275
2026,TEN,00-0038117,W.Robinson,targets,2,7,45,2,21,5,24,0.1556,0.0952,0.2083,-0.1131
2026,LAC,00-0040666,O.Hampton,rush_attempts,2,35,47,10,15,25,32,0.7447,0.6667,0.7813,-0.1146
2026,ATL,00-0037238,D.London,targets,2,9,50,4,17,5,33,0.18,0.2353,0.1515,0.0838
2026,BUF,00-0039875,R.Davis,rush_attempts,1,1,20,0,8,1,12,0.05,0.0,0.0833,-0.0833
2026,CLE,00-0040663,H.Fannin,targets,2,9,52,4,15,5,37,0.1731,0.2667,0.1351,0.1315
2026,NYG,00-0036309,D.Mooney,targets,2,5,61,2,25,3,36,0.082,0.08,0.0833,-0.0033
2026,DEN,00-0040134,P.Bryant,targets,2,7,56,2,22,5,34,0.125,0.0909,0.1471,-0.0561
2026,KC,00-0039894,X.Worthy,targets,2,13,68,6,32,7,36,0.1912,0.1875,0.1944,-0.0069
2026,TEN,00-0041438,C.Tate,targets,2,11,45,7,21,4,24,0.2444,0.3333,0.1667,0.1667
2026,WAS,00-0040242,J.Croskey-Merritt,rush_attempts,2,28,54,5,20,23,34,0.5185,0.25,0.6765,-0.4265
2026,HOU,00-0038608,K.Boutte,targets,2,7,87,3,37,4,50,0.0805,0.0811,0.08,0.0011
2026,TB,00-0040129,E.Egbuka,targets,2,11,60,4,27,7,33,0.1833,0.1481,0.2121,-0.064
2026,BUF,00-0036988,J.Palmer,targets,2,5,57,3,27,2,30,0.0877,0.1111,0.0667,0.0444
2026,NYJ,00-0037740,G.Wilson,targets,2,14,59,9,25,5,34,0.2373,0.36,0.1471,0.2129
2026,IND,00-0038997,J.Downs,targets,2,13,59,6,22,7,37,0.2203,0.2727,0.1892,0.0835
2026,JAX,00-0040719,B.Tuten,rush_attempts,2,28,56,4,17,24,39,0.5,0.2353,0.6154,-0.3801
2026,CHI,00-0032464,K.Raymond,targets,2,14,56,8,27,6,29,0.25,0.2963,0.2069,0.0894
2026,NO,00-0039424,D.Vele,targets,2,16,85,8,40,8,45,0.1882,0.2,0.1778,0.0222
2026,WAS,00-0037742,T.Burks,targets,1,1,34,1,15,0,19,0.0294,0.0667,0.0,0.0667
2026,LAC,00-0038573,D.Davis,targets,2,2,53,1,23,1,30,0.0377,0.0435,0.0333,0.0101
2026,ATL,00-0037741,J.Dotson,targets,2,7,50,2,17,5,33,0.14,0.1176,0.1515,-0.0339
2026,CLE,00-0041547,K.Concepcion,targets,2,11,52,3,15,8,37,0.2115,0.2,0.2162,-0.0162
2026,NYG,00-0041042,M.Fields,targets,2,10,61,4,25,6,36,0.1639,0.16,0.1667,-0.0067
2026,KC,00-0030506,T.Kelce,targets,2,16,68,6,32,10,36,0.2353,0.1875,0.2778,-0.0903
2026,MIA,00-0039874,J.Wright,rush_attempts,2,3,41,2,16,1,25,0.0732,0.125,0.04,0.085
2026,WAS,00-0037809,C.Okonkwo,targets,1,3,30,0,16,3,14,0.1,0.0,0.2143,-0.2143
2026,PHI,00-0036389,J.Hurts,rush_attempts_qb,2,5,50,5,16,0,34,0.1,0.3125,0.0,0.3125
2026,HOU,00-0034383,D.Schultz,targets,2,22,87,9,37,13,50,0.2529,0.2432,0.26,-0.0168
2026,TB,00-0039361,B.Irving,rush_attempts,2,25,38,7,11,18,27,0.6579,0.6364,0.6667,-0.0303
2026,BUF,00-0038933,D.Kincaid,targets,2,14,57,4,27,10,30,0.2456,0.1481,0.3333,-0.1852
2026,NYJ,00-0039890,A.Mitchell,targets,2,15,59,6,25,9,34,0.2542,0.24,0.2647,-0.0247
