season,team,player_id,player_name,opportunity_type,team_opp_i20,team_opp_i10,team_opp_i5,opp_i20,yds_i20,td_i20,pct_i20_intra,pct_i20_shrunk,opp_i10,yds_i10,td_i10,pct_i10_intra,pct_i10_shrunk,opp_i5,yds_i5,td_i5,pct_i5_intra,pct_i5_shrunk,opp_g2g,td_g2g,pct_g2g_shrunk
2026,PIT,00-0036894,P.Freiermuth,target,6,2,0,2,8,1,0.3333,0.2,1,6,1,0.5,0.1667,0,0,0,,0.0,0,0,0.0
2026,BAL,00-0034798,D.Smythe,target,17,10,5,1,4,0,0.0588,0.0476,1,4,0,0.1,0.0714,0,0,0,0.0,0.0,1,0,0.0625
2026,IND,00-0040128,T.Warren,target,18,9,6,3,17,2,0.1667,0.1364,2,10,2,0.2222,0.1538,1,1,1,0.1667,0.1,2,2,0.1667
2026,BAL,00-0034753,M.Andrews,target,17,10,5,1,0,0,0.0588,0.0476,0,0,0,0.0,0.0,0,0,0,0.0,0.0,1,0,0.0625
2026,BAL,00-0040870,J.Lane,target,17,10,5,2,11,0,0.1176,0.0952,1,0,0,0.1,0.0714,1,0,0,0.2,0.1111,2,0,0.125
2026,BUF,00-0037248,J.Cook,target,20,10,8,8,20,1,0.4,0.3333,4,4,1,0.4,0.2857,2,2,1,0.25,0.1667,3,1,0.25
2026,BUF,00-0039901,K.Coleman,target,20,10,8,2,4,0,0.1,0.0833,1,0,0,0.1,0.0714,1,0,0,0.125,0.0833,0,0,0.0
2026,HOU,00-0036554,N.Collins,target,15,5,3,2,12,1,0.1333,0.1053,0,0,0,0.0,0.0,0,0,0,0.0,0.0,1,0,0.1
2026,HOU,00-0035685,D.Montgomery,target,15,5,3,7,26,3,0.4667,0.3684,5,9,2,1.0,0.5556,3,2,1,1.0,0.4286,5,2,0.5
2026,HOU,00-0038728,J.Wayne,target,15,5,3,1,12,0,0.0667,0.0526,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0
2026,BUF,00-0035689,D.Knox,target,20,10,8,1,1,1,0.05,0.0417,1,1,1,0.1,0.0714,1,1,1,0.125,0.0833,1,1,0.0833
2026,CAR,00-0036555,C.Hubbard,target,30,18,7,8,25,3,0.2667,0.2353,7,22,3,0.3889,0.3182,3,9,3,0.4286,0.2727,5,2,0.25
2026,CAR,00-0039342,X.Legette,target,30,18,7,1,0,0,0.0333,0.0294,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0
2026,CAR,00-0031610,D.Waller,target,30,18,7,2,19,2,0.0667,0.0588,1,7,1,0.0556,0.0455,0,0,0,0.0,0.0,1,1,0.05
2026,CHI,00-0040277,J.Walker,target,25,14,6,1,1,1,0.04,0.0345,1,1,1,0.0714,0.0556,1,1,1,0.1667,0.1,1,1,0.0833
2026,CLE,00-0038710,B.Whiteheart,target,10,2,1,1,17,1,0.1,0.0714,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0
2026,JAX,00-0038935,B.Strange,target,9,7,5,2,17,1,0.2222,0.1538,1,3,0,0.1429,0.0909,0,0,0,0.0,0.0,1,0,0.0909
2026,DAL,00-0037247,G.Pickens,target,19,9,7,1,0,0,0.0526,0.0435,1,0,0,0.1111,0.0769,0,0,0,0.0,0.0,0,0,0.0
2026,NYG,00-0035250,D.Singletary,target,17,7,4,3,19,1,0.1765,0.1429,1,9,1,0.1429,0.0909,0,0,0,0.0,0.0,0,0,0.0
2026,DEN,00-0034348,C.Sutton,target,17,9,4,2,6,0,0.1176,0.0952,1,0,0,0.1111,0.0769,0,0,0,0.0,0.0,2,0,0.1333
2026,DEN,00-0033881,E.Engram,target,17,9,4,1,19,1,0.0588,0.0476,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0
2026,KC,00-0038134,K.Walker,target,25,10,8,11,30,1,0.44,0.3793,6,3,1,0.6,0.4286,5,0,1,0.625,0.4167,6,1,0.4
