season,week,game_type,game_id,pfr_game_id,pfr_player_id,pfr_player_name,team,opponent,rushing_broken_tackles,receiving_broken_tackles,receiving_drop,receiving_drop_pct,receiving_int,receiving_rat,ingest_run_id
2026,1,REG,2026_01_GB_MIN,202609130min,BrooCh00,Chris Brooks,GB,MIN,,0,0,0.0,0,39.6,20260925T013701Z
2026,1,REG,2026_01_WAS_PHI,202609130phi,ShipWi00,Will Shipley,PHI,WAS,,0,0,0.0,0,100.0,20260925T013701Z
2026,1,REG,2026_01_WAS_PHI,202609130phi,DiggSt00,Stefon Diggs,WAS,PHI,,0,3,0.333,0,101.6,20260925T013701Z
2026,1,REG,2026_01_WAS_PHI,202609130phi,WillAn04,Antonio Williams,WAS,PHI,,0,0,0.0,0,158.3,20260925T013701Z
2026,1,REG,2026_01_WAS_PHI,202609130phi,BateJo00,John Bates,WAS,PHI,,0,0,0.0,0,75.7,20260925T013701Z
2026,1,REG,2026_01_WAS_PHI,202609130phi,McLaTe00,Terry McLaurin,WAS,PHI,,0,1,0.25,0,58.3,20260925T013701Z
2026,1,REG,2026_01_WAS_PHI,202609130phi,OkonCh00,Chig Okonkwo,WAS,PHI,,0,0,0.0,0,79.9,20260925T013701Z
2026,1,REG,2026_01_WAS_PHI,202609130phi,WhitRa01,Rachaad White,WAS,PHI,,0,0,0.0,0,79.2,20260925T013701Z
2026,1,REG,2026_01_WAS_PHI,202609130phi,CrosJa00,Jacory Croskey-Merritt,WAS,PHI,,0,0,0.0,0,79.2,20260925T013701Z
2026,1,REG,2026_01_DAL_NYG,202609130nyg,LikeIs00,Isaiah Likely,NYG,DAL,,0,0,0.0,0,146.9,20260925T013701Z
2026,1,REG,2026_01_DAL_NYG,202609130nyg,FielMa00,Malachi Fields,NYG,DAL,,0,0,0.0,0,69.8,20260925T013701Z
2026,1,REG,2026_01_DAL_NYG,202609130nyg,MoonDa00,Darnell Mooney,NYG,DAL,,0,0,0.0,0,118.7,20260925T013701Z
2026,1,REG,2026_01_DAL_NYG,202609130nyg,JohnTh00,Theo Johnson,NYG,DAL,,0,0,0.0,0,104.2,20260925T013701Z
2026,1,REG,2026_01_DAL_NYG,202609130nyg,LambCe00,CeeDee Lamb,DAL,NYG,,0,0,0.0,0,116.7,20260925T013701Z
2026,1,REG,2026_01_DAL_NYG,202609130nyg,WillJa10,Javonte Williams,DAL,NYG,,0,0,0.0,0,132.1,20260925T013701Z
2026,1,REG,2026_01_DAL_NYG,202609130nyg,PickGe00,George Pickens,DAL,NYG,,0,2,0.333,0,63.2,20260925T013701Z
2026,1,REG,2026_01_DAL_NYG,202609130nyg,FlouRy00,Ryan Flournoy,DAL,NYG,,1,0,0.0,0,66.7,20260925T013701Z
2026,1,REG,2026_01_DAL_NYG,202609130nyg,MingJo00,Jonathan Mingo,DAL,NYG,,0,0,0.0,0,108.3,20260925T013701Z
2026,1,REG,2026_01_DEN_KC,202609140kan,WalkKe00,Kenneth Walker III,KC,DEN,,0,2,0.333,0,95.8,20260925T013701Z
2026,1,REG,2026_01_DEN_KC,202609140kan,WortXa00,Xavier Worthy,KC,DEN,,0,0,0.0,1,16.7,20260925T013701Z
2026,1,REG,2026_01_DEN_KC,202609140kan,JohnEm01,Emmett Johnson,KC,DEN,,3,0,0.0,0,118.7,20260925T013701Z
2026,1,REG,2026_01_DEN_KC,202609140kan,AlleCy00,Cyrus Allen,KC,DEN,,0,0,0.0,0,39.6,20260925T013701Z
2026,1,REG,2026_01_DEN_KC,202609140kan,ThorTy00,Tyquan Thornton,KC,DEN,,0,0,0.0,0,39.6,20260925T013701Z
2026,1,REG,2026_01_DEN_KC,202609140kan,BryaPa00,Pat Bryant,DEN,KC,,0,1,0.167,0,86.8,20260925T013701Z
2026,1,REG,2026_01_DEN_KC,202609140kan,SuttCo00,Courtland Sutton,DEN,KC,,0,1,0.2,1,8.3,20260925T013701Z
2026,1,REG,2026_01_DEN_KC,202609140kan,FranTr00,Troy Franklin,DEN,KC,,0,0,0.0,0,39.6,20260925T013701Z
2026,2,REG,2026_02_DET_BUF,202609170buf,ShakKh00,Khalil Shakir,BUF,DET,,0,1,0.167,0,70.1,20260925T013701Z
2026,2,REG,2026_02_DET_BUF,202609170buf,StxxAm00,Amon-Ra St. Brown,DET,BUF,,1,0,0.0,0,144.9,20260925T013701Z
2026,2,REG,2026_02_DET_BUF,202609170buf,LaPoSa01,Sam LaPorta,DET,BUF,,1,0,0.0,0,137.2,20260925T013701Z
2026,2,REG,2026_02_DET_BUF,202609170buf,TeSlIs00,Isaac TeSlaa,DET,BUF,,0,0,0.0,0,57.1,20260925T013701Z
2026,2,REG,2026_02_DET_BUF,202609170buf,WillJa11,Jameson Williams,DET,BUF,,0,1,0.25,0,78.1,20260925T013701Z
2026,2,REG,2026_02_DET_BUF,202609170buf,VakiSi00,Sione Vaki,DET,BUF,,1,0,0.0,0,118.7,20260925T013701Z
2026,2,REG,2026_02_CAR_ATL,202609200atl,RobiBi01,Bijan Robinson,ATL,CAR,,0,0,0.0,1,37.5,20260925T013701Z
2026,2,REG,2026_02_CAR_ATL,202609200atl,HoopAu00,Austin Hooper,ATL,CAR,,0,0,0.0,0,64.6,20260925T013701Z
2026,2,REG,2026_02_CAR_ATL,202609200atl,DotsJa00,Jahan Dotson,ATL,CAR,,0,0,0.0,1,16.7,20260925T013701Z
2026,2,REG,2026_02_CAR_ATL,202609200atl,PittKy00,Kyle Pitts,ATL,CAR,,0,0,0.0,1,11.1,20260925T013701Z
2026,2,REG,2026_02_CAR_ATL,202609200atl,BlaiCh00,Chris Blair,ATL,CAR,,0,1,0.333,0,42.4,20260925T013701Z
2026,2,REG,2026_02_CAR_ATL,202609200atl,CokeJa01,Jalen Coker,CAR,ATL,,0,0,0.0,0,97.2,20260925T013701Z
2026,2,REG,2026_02_CAR_ATL,202609200atl,WallDa01,Darren Waller,CAR,ATL,,0,0,0.0,0,152.1,20260925T013701Z
2026,2,REG,2026_02_CAR_ATL,202609200atl,LegeXa00,Xavier Legette,CAR,ATL,,0,0,0.0,0,95.8,20260925T013701Z
2026,2,REG,2026_02_NO_BAL,202609200rav,AndrMa00,Mark Andrews,BAL,NO,,0,1,0.143,0,95.8,20260925T013701Z
2026,2,REG,2026_02_NO_BAL,202609200rav,WalkDe01,Devontez Walker,BAL,NO,,0,0,0.0,0,95.8,20260925T013701Z
2026,2,REG,2026_02_NO_BAL,202609200rav,OlavCh00,Chris Olave,NO,BAL,,0,0,0.0,0,135.8,20260925T013701Z
2026,2,REG,2026_02_NO_BAL,202609200rav,KamaAl00,Alvin Kamara,NO,BAL,,0,1,0.167,0,79.2,20260925T013701Z
2026,2,REG,2026_02_NO_BAL,202609200rav,JohnJu02,Juwan Johnson,NO,BAL,,3,0,0.0,0,118.7,20260925T013701Z
2026,2,REG,2026_02_NO_BAL,202609200rav,EtieTr00,Travis Etienne,NO,BAL,,0,0,0.0,0,79.2,20260925T013701Z
2026,2,REG,2026_02_NO_BAL,202609200rav,DelpOs01,Oscar Delp,NO,BAL,,0,0,0.0,0,100.0,20260925T013701Z
