season,week,season_type,game_id,player_id,team,opponent_team,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,receiving_10,receiving_16,receiving_20,receiving_40,racr,target_share,air_yards_share,wopr,ingest_run_id
2026,2,REG,2026_02_SEA_ARI,00-0039854,ARI,SEA,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_PHI_TEN,00-0039858,TEN,PHI,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_CAR_ATL,00-0039859,ATL,CAR,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_NO_BAL,00-0039860,NO,BAL,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_NYG_LA,00-0039861,NYG,LA,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_GB_NYJ,00-0039867,GB,NYJ,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_JAX_DEN,00-0039868,DEN,JAX,1,2,27,0,0,0,33,1.0,1,1.56929362966912,0,1,1,1,0,0.818181818181818,0.0689655172413793,0.123134328358209,0.189642305712815,20260925T013701Z
2026,2,REG,2026_02_PIT_NE,00-0039871,PIT,NE,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_DET_BUF,00-0039872,BUF,DET,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_DET_BUF,00-0039873,BUF,DET,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_MIA_SF,00-0039874,MIA,SF,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_DET_BUF,00-0039875,BUF,DET,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_DET_BUF,00-0039879,BUF,DET,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_MIA_SF,00-0039880,MIA,SF,4,5,43,0,0,0,27,20.0,2,1.75435912254034,0,2,1,1,0,1.59259259259259,0.217391304347826,0.159763313609467,0.437921276048366,20260925T013701Z
2026,2,REG,2026_02_GB_NYJ,00-0039886,NYJ,GB,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_PHI_TEN,00-0039888,PHI,TEN,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_CAR_ATL,00-0039889,ATL,CAR,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_GB_NYJ,00-0039890,NYJ,GB,6,12,63,0,0,0,178,25.0,5,5.5507979040267,0,3,0,0,0,0.353932584269663,0.333333333333333,0.709163346613546,0.996414342629482,20260925T013701Z
