season,team,player_id,player_name,position,games,spine_metric,spine_opps,team_spine_opps,share_overall,spine_opps_stress,team_spine_opps_stress,share_stress,spine_opps_calm,team_spine_opps_calm,share_calm,confidence_delta,depth_pos,depth_rank,depth_as_of_week,opp_i20,opp_i10,opp_i5,opp_g2g,td_i20,td_i5,team_opp_i20,pct_i20_intra,pct_i20_shrunk,pct_i10_shrunk,pct_i5_shrunk,pct_g2g_shrunk,touches,scrimmage_yards,yards_per_touch,scrimmage_yards_share_intra,scrimmage_tds,usage_rank_on_team,usage_rank_in_pos_group
2026,SEA,00-0035704,D.Lock,QB,1,rush_attempts_qb,1,21,0.0476,1,7,0.1429,0,14,0.0,0.1429,QB,2,18,1,0,0,0,0,0,27,0.037,0.0323,0.0,0.0,0.0,2,13,6.5,0.0438,0,9,1
2026,SF,00-0041052,K.Black,RB,2,rush_attempts,21,52,0.4038,4,13,0.3077,17,39,0.4359,-0.1282,RB,2,18,2,0,0,0,0,0,22,0.0909,0.0769,0.0,0.0,0.0,22,95,4.32,0.1248,0,1,1
2026,SF,00-0033280,C.McCaffrey,RB,2,rush_attempts,20,52,0.3846,6,13,0.4615,14,39,0.359,0.1026,RB,1,18,8,5,4,5,2,2,22,0.3636,0.3077,0.2941,0.3333,0.3333,29,154,5.31,0.2024,2,2,2
2026,SF,00-0040177,J.James,RB,1,rush_attempts,4,24,0.1667,1,8,0.125,3,16,0.1875,-0.0625,RB,3,18,,,,,,,,,,,,,4,15,3.75,0.0393,0,7,3
2026,BAL,00-0034796,L.Jackson,QB,1,rush_attempts_qb,4,34,0.1176,2,11,0.1818,2,23,0.087,0.0949,QB,1,18,1,1,1,1,1,1,17,0.0588,0.0476,0.0714,0.1111,0.0625,11,74,6.73,0.0852,1,7,1
2026,CLE,00-0033537,D.Watson,QB,2,rush_attempts_qb,7,39,0.1795,4,15,0.2667,3,24,0.125,0.1417,QB,1,18,2,0,0,0,0,0,10,0.2,0.1429,0.0,0.0,0.0,13,60,4.62,0.1045,0,5,1
2026,DAL,00-0038041,J.Ferguson,TE,2,targets,6,61,0.0984,4,23,0.1739,2,38,0.0526,0.1213,TE,1,18,3,2,1,2,2,0,19,0.1579,0.1304,0.1538,0.0909,0.1667,6,49,8.17,0.0832,2,5,1
2026,DAL,00-0039530,B.Spann-Ford,TE,1,targets,2,30,0.0667,0,11,0.0,2,19,0.1053,-0.1053,TE,2,18,,,,,,,,,,,,,2,14,7.0,0.0574,0,8,2
2026,DAL,00-0038547,L.Schoonmaker,TE,1,targets,1,30,0.0333,0,11,0.0,1,19,0.0526,-0.0526,TE,3,18,,,,,,,,,,,,,1,12,12.0,0.0492,0,10,3
2026,DET,00-0039139,J.Gibbs,RB,2,rush_attempts,45,50,0.9,14,16,0.875,31,34,0.9118,-0.0368,RB,1,18,13,6,5,3,3,2,27,0.4815,0.4194,0.375,0.3846,0.25,56,299,5.34,0.3914,3,1,1
2026,DET,00-0039364,S.Vaki,RB,2,rush_attempts,3,50,0.06,1,16,0.0625,2,34,0.0588,0.0037,RB,2,18,1,0,0,1,0,0,27,0.037,0.0323,0.0,0.0,0.0833,5,38,7.6,0.0497,0,6,2
2026,GB,00-0039811,M.Lloyd,RB,2,rush_attempts,19,39,0.4872,3,9,0.3333,16,30,0.5333,-0.2,RB,1,18,5,3,0,3,1,0,18,0.2778,0.2273,0.2308,0.0,0.2308,21,63,3.0,0.0953,1,1,1
2026,GB,00-0038685,C.Brooks,RB,2,rush_attempts,11,39,0.2821,5,9,0.5556,6,30,0.2,0.3556,RB,2,18,4,2,0,2,0,0,18,0.2222,0.1818,0.1538,0.0,0.1538,12,55,4.58,0.0832,0,4,2
2026,GB,00-0040142,K.Johnson,RB,1,rush_attempts,8,18,0.4444,0,5,0.0,8,13,0.6154,-0.6154,RB,3,18,,,,,,,,,,,,,8,32,4.0,0.1538,0,7,3
2026,HOU,00-0035685,D.Montgomery,RB,2,rush_attempts,26,46,0.5652,10,17,0.5882,16,29,0.5517,0.0365,RB,1,18,7,5,3,5,3,1,15,0.4667,0.3684,0.5556,0.4286,0.5,31,103,3.32,0.127,3,1,1
2026,HOU,00-0040583,W.Marks,RB,2,rush_attempts,17,46,0.3696,6,17,0.3529,11,29,0.3793,-0.0264,RB,2,18,3,0,0,0,0,0,15,0.2,0.1579,0.0,0.0,0.0,23,75,3.26,0.0925,0,3,2
2026,KC,00-0033873,P.Mahomes,QB,1,rush_attempts_qb,3,34,0.0882,3,14,0.2143,0,20,0.0,0.2143,QB,1,18,5,1,0,2,1,0,25,0.2,0.1724,0.0714,0.0,0.1333,9,40,4.44,0.0426,1,7,1
2026,MIA,00-0039880,M.Washington,WR,2,targets,13,50,0.26,3,16,0.1875,10,34,0.2941,-0.1066,WR,1,18,1,0,0,0,0,0,14,0.0714,0.0556,0.0,0.0,0.0,8,100,12.5,0.1686,0,2,1
2026,MIA,00-0041523,C.Douglas,WR,2,targets,10,50,0.2,6,16,0.375,4,34,0.1176,0.2574,WR,2,18,1,0,0,0,0,0,14,0.0714,0.0556,0.0,0.0,0.0,7,113,16.14,0.1906,0,3,2
2026,MIA,00-0041525,C.Bell,WR,2,targets,3,50,0.06,0,16,0.0,3,34,0.0882,-0.0882,WR,3,18,,,,,,,,,,,,,1,25,25.0,0.085,0,6,3
2026,MIA,00-0041529,K.Coleman,WR,1,targets,2,27,0.0741,1,6,0.1667,1,21,0.0476,0.119,WR,4,18,,,,,,,,,,,,,,,,,,10,4
2026,MIA,00-0038824,R.Miller,WR,1,targets,1,23,0.0435,1,10,0.1,0,13,0.0,0.1,WR,6,18,,,,,,,,,,,,,1,77,77.0,0.2575,1,11,5
2026,NE,00-0033090,H.Henry,TE,2,targets,8,52,0.1538,2,23,0.087,6,29,0.2069,-0.1199,TE,1,18,1,0,0,1,0,0,3,0.3333,0.1429,0.0,0.0,0.1667,6,66,11.0,0.1046,0,5,1
2026,NE,00-0041395,E.Raridon,TE,2,targets,2,52,0.0385,1,23,0.0435,1,29,0.0345,0.009,TE,2,18,1,1,1,1,1,1,3,0.3333,0.1429,0.2,0.2,0.1667,2,32,16.0,0.0507,1,10,2
2026,PHI,00-0036912,D.Smith,WR,2,targets,19,56,0.3393,13,30,0.4333,6,26,0.2308,0.2026,WR,1,18,1,1,0,1,0,0,16,0.0625,0.05,0.1111,0.0,0.1,13,170,13.08,0.2457,1,1,1
2026,PHI,00-0038393,D.Wicks,WR,2,targets,10,56,0.1786,9,30,0.3,1,26,0.0385,0.2615,WR,2,18,2,1,0,0,1,0,16,0.125,0.1,0.1111,0.0,0.0,7,147,21.0,0.2124,1,4,2
2026,PHI,00-0040867,M.Lemon,WR,2,targets,5,56,0.0893,1,30,0.0333,4,26,0.1538,-0.1205,WR,3,18,,,,,,,,,,,,,5,4,0.8,0.0058,0,7,3
