season,week,game_id,team,opponent,half,points_allowed,ingest_run_id
2026,1,2026_01_MIA_LV,LV,MIA,2,7,20260925T072249Z
2026,1,2026_01_MIA_LV,MIA,LV,2,10,20260925T072249Z
2026,1,2026_01_NE_SEA,SEA,NE,1,7,20260925T072249Z
2026,1,2026_01_NO_DET,NO,DET,1,7,20260925T072249Z
2026,1,2026_01_NYJ_TEN,NYJ,TEN,1,3,20260925T072249Z
2026,1,2026_01_NYJ_TEN,TEN,NYJ,2,13,20260925T072249Z
2026,1,2026_01_SF_LA,SF,LA,1,7,20260925T072249Z
2026,1,2026_01_SF_LA,LA,SF,2,17,20260925T072249Z
2026,1,2026_01_TB_CIN,CIN,TB,1,10,20260925T072249Z
2026,1,2026_01_TB_CIN,TB,CIN,1,24,20260925T072249Z
2026,1,2026_01_WAS_PHI,WAS,PHI,1,14,20260925T072249Z
2026,1,2026_01_WAS_PHI,PHI,WAS,2,13,20260925T072249Z
2026,2,2026_02_CAR_ATL,ATL,CAR,1,20,20260925T072249Z
2026,2,2026_02_CAR_ATL,CAR,ATL,1,3,20260925T072249Z
2026,2,2026_02_CIN_HOU,CIN,HOU,1,3,20260925T072249Z
2026,2,2026_02_CIN_HOU,HOU,CIN,2,13,20260925T072249Z
2026,2,2026_02_CLE_TB,CLE,TB,1,9,20260925T072249Z
2026,2,2026_02_CLE_TB,TB,CLE,1,6,20260925T072249Z
2026,2,2026_02_DET_BUF,BUF,DET,1,10,20260925T072249Z
2026,2,2026_02_DET_BUF,DET,BUF,2,14,20260925T072249Z
2026,2,2026_02_GB_NYJ,GB,NYJ,2,10,20260925T072249Z
2026,2,2026_02_GB_NYJ,NYJ,GB,2,13,20260925T072249Z
2026,2,2026_02_IND_KC,IND,KC,2,16,20260925T072249Z
2026,2,2026_02_IND_KC,KC,IND,2,10,20260925T072249Z
2026,2,2026_02_JAX_DEN,DEN,JAX,1,10,20260925T072249Z
