team,season,rank_on_team,player_name,position,spine_metric,depth_pos,depth_rank,depth_surplus,usage_index_score,usage_role,stress_score,redzone_score,share_score,depth_score,return_score,spine_opps,team_spine_opps,share_overall,share_calm,share_stress,confidence_delta,opp_i20,team_opp_i20,yards_per_touch,scrimmage_yards
BAL,2026,6,Z.Flowers,WR,targets,WR,1,-1,40.5,ROTATIONAL CONTRIBUTOR,42.1,0.0,71.4,33.3,65.9,6,24,0.25,0.3333,0.1111,-0.2222,,,30.0,150
BAL,2026,7,L.Jackson,QB,rush_attempts_qb,QB,1,0,38.0,INSUFFICIENT SAMPLE,55.9,21.1,33.6,50.0,13.8,4,34,0.1176,0.087,0.1818,0.0949,1,17,6.73,74
BAL,2026,8,J.Hill,RB,rush_attempts,RB,2,0,33.1,ROTATIONAL CONTRIBUTOR,51.6,0.0,43.9,50.0,6.8,8,52,0.1538,0.1471,0.1667,0.0196,,,4.18,46
BAL,2026,9,L.Wester,WR,targets,WR,6,2,32.6,INSUFFICIENT SAMPLE,50.0,0.0,21.6,83.3,10.8,4,53,0.0755,0.1212,0.0,-0.1212,,,9.67,29
BAL,2026,10,D.Walker,WR,targets,WR,3,-3,29.4,INSUFFICIENT SAMPLE,51.3,0.0,19.7,0.0,67.1,2,29,0.069,0.0556,0.0909,0.0354,,,47.0,47
BAL,2026,11,D.Smythe,TE,targets,TE,2,0,28.6,INSUFFICIENT SAMPLE,50.7,14.1,10.8,50.0,1.0,2,53,0.0377,0.0303,0.05,0.0197,1,17,4.0,4
BAL,2026,12,M.Hibner,TE,targets,TE,3,0,27.0,INSUFFICIENT SAMPLE,50.0,0.0,11.9,50.0,13.6,1,24,0.0417,0.0667,0.0,-0.0667,,,13.0,13
BUF,2026,1,J.Allen,QB,rush_attempts_qb,QB,1,0,72.4,PRIMARY -- TRUSTED UNDER PRESSURE,99.5,68.3,78.4,50.0,15.5,14,51,0.2745,0.1379,0.4545,0.3166,5,20,4.6,92
BUF,2026,2,J.Cook,RB,rush_attempts,RB,1,0,54.6,VOLUME ONLY -- BENCHED WHEN IT TIGHTENS,14.5,89.3,100.0,50.0,33.3,34,51,0.6667,0.7586,0.5455,-0.2132,8,20,5.47,208
BUF,2026,3,K.Shakir,WR,targets,WR,2,1,45.2,RISING -- OUT-EARNING DEPTH CHART,44.5,31.4,60.1,66.7,26.1,12,57,0.2105,0.2333,0.1852,-0.0481,3,20,12.57,88
BUF,2026,4,K.Coleman,WR,targets,WR,3,1,43.9,RISING -- OUT-EARNING DEPTH CHART,59.7,24.9,40.1,66.7,17.8,8,57,0.1404,0.1,0.1852,0.0852,2,20,9.14,64
